code	original_code	title	composer	track_number	is_duplicate
021516	0215	亡失のエモーション	ZUN	16	0
021517	0215	暁雲	あきやまうに	17	0
021518	0215	官板黄昏新聞 (Short Version)	あきやまうに	18	0
021519	0215	心綺楼囃子 (Short Version)	あきやまうに	19	0
021520	0215	心綺楼囃子	あきやまうに	20	0
021521	0215	演者選択	あきやまうに	21	0
021522	0215	使われなかった場所	あきやまうに	22	0
021523	0215	人気爆発／博麗霊夢	ZUN/あきやまうに	23	0
021524	0215	人気爆発／霧雨魔理沙	ZUN/あきやまうに	24	0
021525	0215	人気爆発／雲居一輪＆雲山	ZUN/あきやまうに	25	0
021526	0215	人気爆発／聖白蓮	ZUN/あきやまうに	26	0
021527	0215	人気爆発／物部布都	ZUN/あきやまうに	27	0
021528	0215	人気爆発／豊聡耳神子	ZUN/あきやまうに	28	0
021529	0215	人気爆発／河城にとり	ZUN/あきやまうに	29	0
021530	0215	人気爆発／古明地こいし	ZUN/あきやまうに	30	0
021531	0215	人気爆発／二ッ岩マミゾウ	ZUN/あきやまうに	31	0
021532	0215	人気爆発／秦こころ	ZUN/あきやまうに	32	0
021533	0215	ラストワード発動	あきやまうに	33	0
021534	0215	官板黄昏新聞	あきやまうに	34	0
021601	0216	不思議なお祓い棒	ZUN	1	0
021602	0216	ミストレイク	ZUN	2	0
021603	0216	秘境のマーメイド	ZUN	3	0
021604	0216	運河を行き交う人妖	ZUN	4	0
021605	0216	柳の下のデュラハン	ZUN	5	0
021606	0216	満月の竹林	ZUN	6	0
021607	0216	孤独なウェアウルフ	ZUN	7	0
021608	0216	マジカルストーム	ZUN	8	0
021609	0216	幻想浄瑠璃	ZUN	9	0
021610	0216	空中に沈む輝針城	ZUN	10	0
021611	0216	リバースイデオロギー	ZUN	11	0
021612	0216	針小棒大の天守閣	ZUN	12	0
021613	0216	輝く針の小人族　～ Little Princess	ZUN	13	0
021614	0216	魔力の雷雲	ZUN	14	0
021615	0216	始原のビート　～ Pristine Beat	ZUN	15	0
021616	0216	小槌の魔力	ZUN	16	0
021617	0216	不思議な不思議な道具達	ZUN	17	0
021618	0216	プレイヤーズスコア	ZUN	18	1
021701	0217	反則の狼煙を上げろ	ZUN	1	0
021702	0217	不可能弾幕には反則を	ZUN	2	0
021703	0217	ミッドナイトスペルカード	ZUN	3	0
021704	0217	ロマンチック逃飛行	ZUN	4	0
021705	0217	永遠の三日天下	ZUN	5	0
021706	0217	秘境のマーメイド	ZUN	6	1
021707	0217	リバースイデオロギー	ZUN	7	1
021708	0217	幻想浄瑠璃	ZUN	8	1
021709	0217	妖怪の山　～ Mysterious Mountain	ZUN	9	1
021710	0217	プレイヤーズスコア	ZUN	10	1
021801	0218	二色蓮花蝶 ～ Red and White	ZUN/コンプ	1	1
021802	0218	恋色マスタースパーク	ZUN/oiko	2	1
021803	0218	時代親父とハイカラ少女	ZUN/しゃばだば	3	1
021804	0218	感情の摩天楼　～ Cosmic Mind	ZUN/NYO	4	1
021805	0218	大神神話伝	ZUN/鯛の小骨	5	1
021806	0218	聖徳伝説　～ True Administrator	ZUN/鷹	6	1
021807	0218	芥川龍之介の河童　～ Candid Friend	ZUN/ゆうゆ	7	1
021808	0218	ハルトマンの妖怪少女	ZUN/岸田	8	1
021809	0218	幻想郷の二ッ岩	ZUN/秀三	9	1
021810	0218	亡失のエモーション	ZUN/どぶウサギ	10	1
021811	0218	月まで届け、不死の煙	ZUN/ziki_7	11	1
021812	0218	輝く針の小人族　～ Little Princess	ZUN/あきやまうに	12	1
021813	0218	心揺さぶる都市伝説	あきやまうに	13	0
021814	0218	幻想郷ふしぎ発見	あきやまうに	14	0
021815	0218	ボールのある日常	あきやまうに	15	0
021816	0218	顕現した伝承の形	あきやまうに	16	0
021817	0218	時代の風の訪れ	あきやまうに	17	0
021818	0218	価値がわからない	あきやまうに	18	0
021819	0218	可能性を信じて	あきやまうに	19	0
021820	0218	真実を知る者	あきやまうに	20	0
021821	0218	外界フォークロア	あきやまうに	21	0
021822	0218	各々の結末	あきやまうに	22	0
021823	0218	明かされる深秘	あきやまうに	23	0
021824	0218	オカルトアラカルト	あきやまうに	24	0
021825	0218	七玉蒐集ショウダウン	あきやまうに	25	0
021826	0218	公正なる奪い合い	あきやまうに	26	0
021827	0218	対蹠地の鐘	あきやまうに	27	0
021828	0218	竹林インフレイム	あきやまうに	28	0
021829	0218	華狭間のバトルフィールド	ZUN	29	0
021830	0218	ラストオカルティズム　～ 現し世の秘術師	ZUN	30	0
021901	0219	宇宙巫女現る	ZUN	1	0
021902	0219	忘れがたき、よすがの緑	ZUN	2	0
021903	0219	兎は舞い降りた	ZUN	3	0
021904	0219	湖は浄めの月光を映して	ZUN	4	0
021905	0219	九月のパンプキン	ZUN	5	0
021906	0219	宇宙を飛ぶ不思議な巫女	ZUN	6	0
021907	0219	永遠の春夢	ZUN	7	0
021908	0219	凍り付いた永遠の都	ZUN	8	0
021909	0219	逆転するホイールオブフォーチュン	ZUN	9	0
021910	0219	遥か３８万キロのボヤージュ	ZUN	10	0
021911	0219	星条旗のピエロ	ZUN	11	0
021912	0219	故郷の星が映る海	ZUN	12	0
021913	0219	ピュアヒューリーズ　～ 心の在処	ZUN	13	0
021914	0219	見た事も無い悪夢の世界	ZUN	14	0
021915	0219	パンデモニックプラネット	ZUN	15	0
021916	0219	神社から見える月	ZUN	16	0
021917	0219	宇宙巫女帰還する	ZUN	17	0
021918	0219	プレイヤーズスコア	ZUN	18	1
022001	0220	異変の種子	あきやまうに	1	0
022002	0220	憑依投合	あきやまうに	2	0
022003	0220	連帯責人	あきやまうに	3	0
022004	0220	合縁奇縁	あきやまうに	4	0
022005	0220	異心同体	あきやまうに	5	0
022006	0220	壮言大語	あきやまうに	6	0
022007	0220	知略縦横	あきやまうに	7	0
022008	0220	意気揚々	あきやまうに	8	0
022009	0220	開演間近	あきやまうに	9	0
022010	0220	天衣無縫　～ Yellow Lily	あきやまうに	10	0
022011	0220	地の色は黄色　～ Primrose	あきやまうに	11	0
022012	0220	マッシュルーム・ワルツ	あきやまうに	12	0
022013	0220	聖輦船空を往く	あきやまうに	13	0
022014	0220	法力の下の平等	あきやまうに	14	0
022015	0220	恒常不変の参廟祀	あきやまうに	15	0
022016	0220	光輝く天球儀	あきやまうに	16	0
022017	0220	沢の河童の技術力	あきやまうに	17	0
022018	0220	地底に咲く薔薇	あきやまうに	18	0
022019	0220	深緑の狸森にて	あきやまうに	19	0
022020	0220	心綺楼演舞	あきやまうに	20	0
022021	0220	不滅のレッドソウル	あきやまうに	21	0
022022	0220	落日に映える逆さ城	あきやまうに	22	0
022023	0220	千の試練を超えて	あきやまうに	23	0
022024	0220	夢世界フォークロア	あきやまうに	24	0
022025	0220	永遠に続く回廊	あきやまうに	25	0
022026	0220	スリープシープ・パレード	あきやまうに	26	0
022027	0220	至る有頂天	あきやまうに	27	0
